actor,film_name,release_year,genre,average_rating,director,watch_count,list_count,like_count
Robert Downey Jr,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612293,118622,220371
Robert Downey Jr,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525547,124185,186219
Robert Downey Jr,Spider-Man: Homecoming,2017,Science Fiction,3.65,Jon Watts,520109,92789,158257
Robert Downey Jr,The Avengers,2012,Science Fiction,3.69,Joss Whedon,634598,101140,164888
Robert Downey Jr,Captain America: Civil War,2016,Action,3.61,Anthony Russo,522999,84219,136674
Robert Downey Jr,Iron Man,2008,Adventure,3.73,Jon Favreau,552361,88776,129094
Robert Downey Jr,Zodiac,2007,Mystery,3.99,David Fincher,364380,57346,105451
Robert Downey Jr,Avengers: Age of Ultron,2015,Science Fiction,3.09,Joss Whedon,502294,70293,93963
Robert Downey Jr,Iron Man 3,2013,Action,3.11,Shane Black,435573,64662,73570
Robert Downey Jr,Iron Man 2,2010,Adventure,2.9,Jon Favreau,429954,59461,57394
Robert Downey Jr,The Incredible Hulk,2008,Adventure,2.59,Louis Leterrier,254826,47824,23334
Robert Downey Jr,Sherlock Holmes,2009,Crime,3.36,Guy Ritchie,287336,13638,44668
Robert Downey Jr,Tropic Thunder,2008,War,3.42,Ben Stiller,209825,16097,40104
Robert Downey Jr,Sherlock Holmes: A Game of Shadows,2011,Adventure,3.22,Guy Ritchie,200582,11641,26293
Robert Downey Jr,Chef,2014,Comedy,3.58,Jon Favreau,117134,13858,27634
Robert Downey Jr,Natural Born Killers,1994,Drama,3.5,Oliver Stone,101374,15320,20255
Robert Downey Jr,Kiss Kiss Bang Bang,2005,Crime,3.77,Shane Black,89994,15434,22277
Robert Downey Jr,A Scanner Darkly,2006,Thriller,3.47,Richard Linklater,54132,9285,9768
Robert Downey Jr,Due Date,2010,Comedy,2.77,Todd Phillips,93414,4841,8013
Robert Downey Jr,Short Cuts,1993,Comedy,3.99,Robert Altman,21919,10698,5266
Robert Downey Jr,Weird Science,1985,Comedy,3.11,John Hughes,45186,6509,7283
Robert Downey Jr,The Judge,2014,Drama,3.24,David Dobkin,39275,4707,5662
Robert Downey Jr,"Good Night, and Good Luck.",2005,History,3.64,George Clooney,31686,6741,5263
Robert Downey Jr,Chaplin,1992,Drama,3.51,Richard Attenborough,21005,3031,3458
Robert Downey Jr,Gothika,2003,Horror,2.5,Mathieu Kassovitz,32583,2520,1976
Robert Downey Jr,Charlie Bartlett,2007,Drama,3.25,Jon Poll,23414,2644,3375
Robert Downey Jr,Bowfinger,1999,Comedy,3.21,Frank Oz,25264,3751,3434
Robert Downey Jr,Wonder Boys,2000,Drama,3.57,Curtis Hanson,17497,3864,3077
Robert Downey Jr,U.S. Marshals,1998,Crime,2.93,Stuart Baird,21529,1608,2014
Robert Downey Jr,The Shaggy Dog,2006,Family,1.6,Brian Robbins,24480,1571,586
Robert Downey Jr,Less than Zero,1987,Drama,3.05,Marek Kanievska,10154,2069,1498
Robert Downey Jr,The Soloist,2009,Music,2.95,Joe Wright,15004,1514,1365
Robert Downey Jr,Back to School,1986,Comedy,3.11,Alan Metter,11945,1924,1859
Robert Downey Jr,Only You,1994,Romance,3.1,Norman Jewison,9586,1416,1670
Robert Downey Jr,Richard III,1995,War,3.63,Richard Loncraine,5321,1436,962
Robert Downey Jr,Soapdish,1991,Comedy,3.17,Michael Hoffman,6871,1347,1206
Robert Downey Jr,A Guide to Recognizing Your Saints,2006,Drama,3.31,Dito Montiel,5570,966,734
Robert Downey Jr,Eros,2004,Romance,3,Steven Soderbergh,3134,519,293
Robert Downey Jr,Home for the Holidays,1995,Romance,3.2,Jodie Foster,5199,1389,893
Robert Downey Jr,Marvel One-Shot: The Consultant,2011,Science Fiction,2.93,Leythum,6907,948,817
Robert Downey Jr,The Pick-up Artist,1987,Comedy,2.63,James Toback,4529,998,393
Robert Downey Jr,Heart and Souls,1993,Comedy,3.34,Ron Underwood,5591,1024,1020
Robert Downey Jr,Fur: An Imaginary Portrait of Diane Arbus,2006,Drama,3.11,Steven Shainberg,4154,748,563
Robert Downey Jr,Air America,1990,Comedy,2.69,Roger Spottiswoode,6394,750,491
Robert Downey Jr,Tuff Turf,1985,Action,3.01,Fritz Kiersch,2418,1663,434
Robert Downey Jr,In Dreams,1999,Thriller,2.54,Neil Jordan,3289,736,216
Robert Downey Jr,Chances Are,1989,Comedy,2.99,Emile Ardolino,3220,689,439
Robert Downey Jr,Johnny Be Good,1988,Comedy,2.17,Bud Smith,3023,514,174
Robert Downey Jr,The Gingerbread Man,1998,Thriller,2.7,Robert Altman,2758,589,173
Robert Downey Jr,The Singing Detective,2003,Music,2.62,Keith Gordon,2332,467,157
Robert Downey Jr,Greaser's Palace,1972,Comedy,3.23,Robert Downey Sr.,755,559,149
Robert Downey Jr,1969,1988,War,2.73,Ernest Thompson,1332,367,140
Robert Downey Jr,Lucky You,2007,Drama,2.56,Curtis Hanson,2388,489,96
Robert Downey Jr,Restoration,1995,Drama,3,Michael Hoffman,1717,528,161
Robert Downey Jr,Two Girls and a Guy,1997,Romance,2.62,James Toback,2212,327,179
Robert Downey Jr,Baby It's You,1983,Comedy,3.41,John Sayles,819,448,166
Robert Downey Jr,True Believer,1989,Drama,3.13,Joseph Ruben,1311,370,175
Robert Downey Jr,Black and White,1999,Drama,2.48,James Toback,1450,308,84
Robert Downey Jr,Annie Leibovitz: Life Through a Lens,2006,Documentary,3.47,Barbara Leibovitz,865,284,125
Robert Downey Jr,Firstborn,1984,Drama,3.12,Michael Apted,885,296,152
Robert Downey Jr,One Night Stand,1997,Drama,2.7,Mike Figgis,1298,226,95
Robert Downey Jr,Dear America: Letters Home from Vietnam,1987,Documentary,3.67,Bill Couturié,625,320,95
Robert Downey Jr,Two Tons of Turquoise to Taos Tonight,1975,Comedy,3.07,Robert Downey Sr.,438,449,77
Robert Downey Jr,"Marvel: 75 Years, From Pulp to Pop!",2014,Documentary,3.24,Zak Knutson,948,222,148
Robert Downey Jr,Game 6,2005,Drama,3.01,Michael Hoffman,676,205,73
Robert Downey Jr,Charlie: The Life and Art of Charles Chaplin,2003,Documentary,3.62,Richard Schickel,687,157,95
Robert Downey Jr,Up the Academy,1980,Comedy,2.43,Robert Downey Sr.,562,309,45
Robert Downey Jr,"Vanity Fair: Killers Kill, Dead Men Die",2007,Documentary,2.47,Annie Leibovitz,414,56,15
Robert Downey Jr,Pound,1970,Comedy,3.13,Robert Downey Sr.,200,141,33
Robert Downey Jr,Love and Distrust,2010,Romance,2.22,Lorraine Bracco,365,87,18
Robert Downey Jr,Hail Caesar,1994,Comedy,1.95,Anthony Michael Hall,395,196,13
Robert Downey Jr,Hugo Pool,1997,Comedy,2.53,Robert Downey Sr.,474,112,25
Robert Downey Jr,I Am Steve McQueen,2014,Documentary,3.29,Jeff Renfroe,337,46,52
Robert Downey Jr,The Last Party,1993,Documentary,3.24,Marc Levin,179,48,33
Robert Downey Jr,Friends & Lovers,1999,Romance,2.45,George Haas,198,91,5
Robert Downey Jr,Danger Zone,1996,Action,2.44,Allan Eastman,145,102,8
Robert Downey Jr,Too Much Sun,1990,Comedy,2.77,Robert Downey Sr.,79,81,11
Robert Downey Jr,Hubert Selby Jr: It/ll Be Better Tomorrow,2006,Documentary,3.52,Michael W. Dean,121,39,28
Robert Downey Jr,"Luck, Trust & Ketchup: Robert Altman in Carver Country",1993,Documentary,3.52,Mike Kaplan,137,75,24
Robert Downey Jr,Whatever We Do,2003,Comedy,2.8,Kevin Connolly,172,61,9
Robert Downey Jr,Sherlock Holmes and Dr. Watson: A Perfect Chemistry,2012,Mystery,3.37,Josh Oreck,279,21,28
Robert Downey Jr,I Am Iron Man,2008,Documentary,3.62,Jon Mefford,246,8,32
Robert Downey Jr,Equilibrium,2004,Romance,3.08,Steven Soderbergh,72,17,9
Josh Brolin,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612294,118620,220372
Josh Brolin,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525548,124182,186219
Josh Brolin,Guardians of the Galaxy,2014,Adventure,3.84,James Gunn,695103,100808,233583
Josh Brolin,No Country for Old Men,2007,Drama,4.28,Joel Coen,398790,77509,136801
Josh Brolin,Avengers: Age of Ultron,2015,Science Fiction,3.09,Joss Whedon,502295,70293,93963
Josh Brolin,Deadpool 2,2018,Action,3.5,David Leitch,377836,53567,96703
Josh Brolin,Sicario,2015,Crime,3.89,Denis Villeneuve,254170,44663,72306
Josh Brolin,Inherent Vice,2014,Mystery,3.57,Paul Thomas Anderson,114061,37745,27095
Josh Brolin,"Hail, Caesar!",2016,Mystery,3.21,Joel Coen,151588,31460,25969
Josh Brolin,True Grit,2010,Drama,3.74,Joel Coen,180411,31160,38641
Josh Brolin,The Goonies,1985,Adventure,3.75,Richard Donner,183608,21548,43716
Josh Brolin,Men in Black 3,2012,Comedy,2.97,Barry Sonnenfeld,180353,9499,18946
Josh Brolin,Sicario: Day of the Soldado,2018,Crime,3.18,Stefano Sollima,58387,12363,9870
Josh Brolin,Milk,2008,History,3.68,Gus Van Sant,73280,13107,11572
Josh Brolin,American Gangster,2007,Drama,3.61,Ridley Scott,78862,10132,13033
Josh Brolin,Everest,2015,Drama,3.15,Baltasar Kormákur,69532,7675,7813
Josh Brolin,Planet Terror,2007,Action,3.3,Robert Rodriguez,77440,8036,12612
Josh Brolin,Sin City: A Dame to Kill For,2014,Action,2.77,Robert Rodriguez,63976,6319,6215
Josh Brolin,Gangster Squad,2013,Crime,2.72,Ruben Fleischer,63906,5733,5616
Josh Brolin,Grindhouse,2007,Action,3.62,Robert Rodriguez,54336,6139,9360
Josh Brolin,Oldboy,2013,Thriller,2.13,Spike Lee,31171,3772,1937
Josh Brolin,Only the Brave,2017,Drama,3.72,Joseph Kosinski,19687,6241,4885
Josh Brolin,Hollow Man,2000,Science Fiction,2.6,Paul Verhoeven,43689,3912,3002
Josh Brolin,Mimic,1997,Horror,2.87,Guillermo del Toro,22968,4662,2591
Josh Brolin,Wall Street: Money Never Sleeps,2010,Crime,2.67,Oliver Stone,24057,2138,1274
Josh Brolin,Jonah Hex,2010,Action,1.69,Jimmy Hayward,19146,2912,574
Josh Brolin,Labor Day,2013,Drama,2.96,Jason Reitman,12812,2127,1398
Josh Brolin,W.,2008,Drama,2.83,Oliver Stone,14545,1932,998
Josh Brolin,You Will Meet a Tall Dark Stranger,2010,Drama,2.74,Woody Allen,13166,2043,784
Josh Brolin,Once Upon a Deadpool,2018,Action,3.1,David Leitch,8239,2651,1514
Josh Brolin,Into the Blue,2005,Adventure,2.43,John Stockwell,16203,1062,831
Josh Brolin,Flirting with Disaster,1996,Comedy,3.39,David O. Russell,8244,2160,1269
Josh Brolin,In the Valley of Elah,2007,History,3.31,Paul Haggis,10296,1171,978
Josh Brolin,To Each His Own Cinema,2007,Comedy,3.4,Aki Kaurismäki,4173,872,543
Josh Brolin,Melinda and Melinda,2004,Drama,2.9,Woody Allen,10366,2062,793
Josh Brolin,Woody Allen: A Documentary,2011,Documentary,3.64,Robert B. Weide,6380,667,954
Josh Brolin,The Legacy of a Whitetail Deer Hunter,2018,Comedy,2.64,Jody Hill,3290,1357,329
Josh Brolin,Nightwatch,1997,Drama,2.88,Ole Bornedal,5934,929,488
Josh Brolin,The Dead Girl,2006,Crime,3.11,Karen Moncrieff,2506,597,220
Josh Brolin,Thrashin',1986,Action,3.11,David Winters,1724,561,319
Josh Brolin,Everything in This Dream,2015,Mystery,3.59,Paul Thomas Anderson,1501,487,353
Josh Brolin,The Mod Squad,1999,Thriller,2.11,Scott Silver,3204,415,99
Josh Brolin,Best Laid Plans,1999,Crime,2.79,Mike Barker,1357,216,93
Josh Brolin,Bed of Roses,1996,Romance,2.68,Michael Goldenberg,1852,257,138
Josh Brolin,Women in Trouble,2009,Comedy,2.71,Sebastián Gutiérrez,862,181,68
Josh Brolin,Fantastic Flesh: The Art of Make-Up EFX,2008,Documentary,3.5,Kevin VanHook,439,138,75
Josh Brolin,The Road Killers,1994,Thriller,2.7,Deran Sarafian,245,91,18
Josh Brolin,Hawaiian: The Legend of Eddie Aikau,2013,Documentary,3.38,Sam George,257,94,47
Josh Brolin,No Country for Old Men: Josh Brolin's Unauthorized Behind the Scenes,2008,Documentary,3.52,Josh Brolin,291,22,64
Josh Brolin,The People Speak,2009,History,3.51,Chris Moore,104,35,18
Josh Brolin,It's the Rage,1999,Comedy,2.57,James D. Stern,206,58,10
Josh Brolin,Coastlines,2002,Drama,2.98,Victor Nunez,100,48,5
Josh Brolin,Slow Burn,2000,Adventure,2.93,Christian Ford,92,26,4
Josh Brolin,"Milwaukee, Minnesota",2003,Drama,3.12,Allan Mindel,93,49,7
Josh Brolin,Unchained: The Untold Story of Freestyle Motocross,2016,Documentary,3.42,Jon Freeman,63,19,13
Chris Hemsworth,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612295,118620,220372
Chris Hemsworth,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525551,124182,186220
Chris Hemsworth,Thor: Ragnarok,2017,Adventure,3.82,Taika Waititi,522490,102479,181112
Chris Hemsworth,The Avengers,2012,Science Fiction,3.69,Joss Whedon,634599,101139,164888
Chris Hemsworth,Doctor Strange,2016,Fantasy,3.43,Scott Derrickson,491973,70029,119588
Chris Hemsworth,Avengers: Age of Ultron,2015,Science Fiction,3.09,Joss Whedon,502296,70293,93963
Chris Hemsworth,Thor,2011,Fantasy,2.97,Kenneth Branagh,437441,59565,63845
Chris Hemsworth,Thor: The Dark World,2013,Fantasy,2.6,Alan Taylor,358349,57323,41580
Chris Hemsworth,The Cabin in the Woods,2011,Horror,3.51,Drew Goddard,292789,38372,69941
Chris Hemsworth,Bad Times at the El Royale,2018,Thriller,3.49,Drew Goddard,119878,25831,30457
Chris Hemsworth,Star Trek,2009,Adventure,3.62,J.J. Abrams,222711,20269,43229
Chris Hemsworth,Star Trek Into Darkness,2013,Adventure,3.29,J.J. Abrams,205078,18304,34708
Chris Hemsworth,Ghostbusters,2016,Comedy,2.56,Paul Feig,159081,15950,18882
Chris Hemsworth,Rush,2013,Drama,3.72,Ron Howard,106543,13744,23024
Chris Hemsworth,Men in Black: International,2019,Science Fiction,2.39,F. Gary Gray,65263,14673,6215
Chris Hemsworth,Snow White and the Huntsman,2012,Drama,2.52,Rupert Sanders,109696,5908,6443
Chris Hemsworth,In the Heart of the Sea,2015,Thriller,2.99,Ron Howard,41928,5560,4448
Chris Hemsworth,Blackhat,2015,Action,2.77,Michael Mann,26546,6969,3279
Chris Hemsworth,The Huntsman: Winter's War,2016,Drama,2.53,Cedric Nicolas-Troyan,43259,4193,3209
Chris Hemsworth,Vacation,2015,Comedy,2.47,John Francis Daley,40188,5796,3492
Chris Hemsworth,Jay and Silent Bob Reboot,2019,Comedy,2.7,Kevin Smith,15380,4347,3219
Chris Hemsworth,12 Strong,2018,Action,2.87,Nicolai Fuglsig,18973,3958,2464
Chris Hemsworth,Red Dawn,2012,Action,2.13,Dan Bradley,23089,2069,1279
Chris Hemsworth,Team Thor,2016,Science Fiction,3.77,Taika Waititi,19269,1030,4007
Chris Hemsworth,A Perfect Getaway,2009,Mystery,2.98,David Twohy,14257,1710,1655
Chris Hemsworth,Team Thor: Part 2,2017,Fantasy,3.58,Taika Waititi,14055,853,2349
Chris Hemsworth,Ca$h,2010,Mystery,2.46,Stephen Milburn Anderson,942,151,40
Chris Hemsworth,Heroes and Demons,2012,Thriller,2.96,Carlos Cuarón,92,21,5
Chris Hemsworth,Beyond Boundaries: The Harvey Weinstein Scandal,2018,Documentary,2.59,Jordan Hill,141,25,2
Chris Hemsworth,Ollie Klublershturf vs. the Nazis,2010,Comedy,3.08,Skot Bright,118,18,11
Chris Pratt,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612295,118620,220372
Chris Pratt,Her,2013,Science Fiction,4.09,Spike Jonze,541619,91099,206794
Chris Pratt,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525551,124183,186220
Chris Pratt,Guardians of the Galaxy,2014,Adventure,3.84,James Gunn,695105,100809,233584
Chris Pratt,Guardians of the Galaxy Vol. 2,2017,Science Fiction,3.55,James Gunn,511568,92688,143038
Chris Pratt,Jurassic World,2015,Science Fiction,2.99,Colin Trevorrow,412493,26012,64769
Chris Pratt,The Lego Movie,2014,Comedy,3.78,Phil Lord,337238,35614,87005
Chris Pratt,Jurassic World: Fallen Kingdom,2018,Action,2.6,J. A. Bayona,205532,26659,24107
Chris Pratt,Passengers,2016,Drama,2.8,Morten Tyldum,174767,13204,21042
Chris Pratt,Moneyball,2011,Drama,3.74,Bennett Miller,156468,21203,33068
Chris Pratt,Zero Dark Thirty,2012,Drama,3.61,Kathryn Bigelow,136577,22362,24214
Chris Pratt,Jennifer's Body,2009,Horror,3.08,Karyn Kusama,123938,20552,22841
Chris Pratt,The Lego Movie 2: The Second Part,2019,Comedy,3.22,Mike Mitchell,76039,20761,15434
Chris Pratt,The Magnificent Seven,2016,Action,3.04,Antoine Fuqua,82991,10029,11886
Chris Pratt,Wanted,2008,Crime,2.9,Timur Bekmambetov,118805,6976,12477
Chris Pratt,Movie 43,2013,Comedy,1.42,Griffin Dunne,42143,5833,1830
Chris Pratt,Bride Wars,2009,Romance,2.6,Gary Winick,61375,4079,4338
Chris Pratt,The Five-Year Engagement,2012,Comedy,2.83,Nicholas Stoller,34145,3495,2872
Chris Pratt,What's Your Number?,2011,Romance,2.81,Mark Mylod,32659,2930,3236
Chris Pratt,Delivery Man,2013,Comedy,2.64,Ken Scott,21132,1676,1532
Chris Pratt,Take Me Home Tonight,2011,Comedy,2.7,Michael Dowse,13503,1872,1209
Chris Pratt,10 Years,2011,Comedy,2.86,Jamie Linden,7034,982,732
Chris Pratt,Jem and the Holograms,2015,Drama,1.84,Jon M. Chu,4664,1397,356
Chris Pratt,The Kid,2019,Western,2.77,Vincent D'Onofrio,3024,1436,438
Chris Pratt,Strangers with Candy,2006,Comedy,3.01,Paul Dinello,2738,382,323
Chris Pratt,"Marvel: 75 Years, From Pulp to Pop!",2014,Documentary,3.24,Zak Knutson,948,222,148
Chris Pratt,Deep in the Valley,2009,Comedy,2.19,Christian Forte,550,69,34
Chris Pratt,Wieners,2008,Comedy,2.25,Mark Steilen,287,66,15
Chris Pratt,Celebrating Marvel's Stan Lee,2019,Documentary,3.51,Lily Olszewski,101,8,18
Chris Pratt,Path of Destruction,2005,Action,2.56,Stephen Furst,59,18,1
Chris Evans,Knives Out,2019,Mystery,4.04,Rian Johnson,449520,94027,181840
Chris Evans,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612297,118621,220372
Chris Evans,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525552,124184,186220
Chris Evans,Spider-Man: Homecoming,2017,Science Fiction,3.65,Jon Watts,520111,92793,158259
Chris Evans,The Avengers,2012,Science Fiction,3.69,Joss Whedon,634603,101141,164890
Chris Evans,Scott Pilgrim vs. the World,2010,Romance,3.89,Edgar Wright,467298,73959,161175
Chris Evans,Captain America: Civil War,2016,Action,3.61,Anthony Russo,523001,84220,136675
Chris Evans,Captain Marvel,2019,Science Fiction,3.19,Ryan Fleck,367254,87089,83454
Chris Evans,Captain America: The Winter Soldier,2014,Action,3.77,Anthony Russo,511417,84493,140855
Chris Evans,Avengers: Age of Ultron,2015,Science Fiction,3.09,Joss Whedon,502297,70295,93963
Chris Evans,Ant-Man,2015,Adventure,3.33,Peyton Reed,449748,66554,97188
Chris Evans,Snowpiercer,2013,Action,3.67,Bong Joon-ho,294289,43302,78856
Chris Evans,Captain America: The First Avenger,2011,Science Fiction,3.31,Joe Johnston,455788,64925,88437
Chris Evans,Thor: The Dark World,2013,Fantasy,2.6,Alan Taylor,358349,57324,41580
Chris Evans,Fantastic Four,2005,Action,2.24,Tim Story,205052,10104,10103
Chris Evans,Sunshine,2007,Science Fiction,3.61,Danny Boyle,77356,13252,16986
Chris Evans,Fantastic Four: Rise of the Silver Surfer,2007,Thriller,2.08,Tim Story,151940,8730,6501
Chris Evans,Gifted,2017,Drama,3.64,Marc Webb,57771,10019,13745
Chris Evans,Not Another Teen Movie,2001,Comedy,2.61,Joel Gallen,51930,4319,4733
Chris Evans,Before We Go,2014,Drama,3.12,Chris Evans,25353,3359,4053
Chris Evans,What's Your Number?,2011,Romance,2.81,Mark Mylod,32659,2930,3236
Chris Evans,Push,2009,Action,2.69,Paul McGuigan,32217,2268,2815
Chris Evans,The Losers,2010,Adventure,2.8,Sylvain White,25168,3020,2817
Chris Evans,The Iceman,2012,Thriller,3.08,Ariel Vromen,16904,2631,2029
Chris Evans,TMNT,2007,Adventure,2.64,Kevin Munroe,29926,3065,2573
Chris Evans,Cellular,2004,Action,2.84,David R. Ellis,21384,1853,1847
Chris Evans,The Nanny Diaries,2007,Romance,2.87,Shari Springer Berman,23517,1728,1767
Chris Evans,The Red Sea Diving Resort,2019,Drama,2.79,Gideon Raff,7970,1979,1013
Chris Evans,Street Kings,2008,Thriller,2.92,David Ayer,13149,1458,1167
Chris Evans,Marvel One-Shot: Agent Carter,2013,Science Fiction,3.65,Louis D'Esposito,10927,1222,1982
Chris Evans,Playing It Cool,2014,Romance,2.6,Justin Reardon,8648,1150,866
Chris Evans,The Perfect Score,2004,Comedy,2.55,Brian Robbins,10713,1202,722
Chris Evans,Puncture,2011,Drama,3.19,Mark Kassen,5172,682,636
Chris Evans,London,2005,Romance,2.83,Hunter Richards,3129,576,321
